Year,Month,good
2018,1,98
2018,2,92
2018,3,94
2018,4,96
2018,5,98
2018,6,91
2018,7,80
2018,8,74
2018,9,503
2018,10,524
2018,11,487
2018,12,545
2019,1,732
2019,2,669
2019,3,690
2019,4,719
2019,5,678
2019,6,720
2019,7,736
2019,8,731
2019,9,720
2019,10,744
2019,11,674
2019,12,744
2020,1,52
2020,2,26
2020,3,26
2020,4,26
2020,5,26
2020,6,26
2020,7,26
2020,8,26
2020,9,26
2020,10,26
2020,11,26
2020,12,24
