,PM10 (µg/m³),SO2 (ppb),NO2 (ppb),O3 (ppb),SO2 (µg/m³),NO2 (µg/m³),O3 (µg/m³)
28/08/2019 12:00:00,20.2,,,,13.2,26.5,53.9
29/08/2019 12:00:00,5.1,,,,11.1,11.7,62.1
30/08/2019 12:00:00,2.8,,,,10.5,9.4,53.4
31/08/2019 12:00:00,14.2,,,,12.6,16.6,54.3
01/02/2019 12:00:00,1.9,,,,4.0,6.4,31.6
02/02/2019 12:00:00,34.2,,,,4.5,4.6,32.5
03/02/2019 12:00:00,4.8,,,,6.0,24.1,30.1
04/02/2019 12:00:00,5.0,,,,5.6,11.9,37.0
05/02/2019 12:00:00,9.3,,,,6.3,21.2,45.6
06/02/2019 12:00:00,6.1,,,,6.2,12.2,34.5
07/02/2019 12:00:00,8.7,,,,4.9,13.5,24.2
08/02/2019 12:00:00,5.7,,,,4.5,12.3,33.1
09/02/2019 12:00:00,7.1,,,,5.2,7.4,50.4
10/02/2019 12:00:00,5.3,,,,4.4,5.2,33.4
11/02/2019 12:00:00,8.8,,,,4.1,4.8,40.9
12/02/2019 12:00:00,9.8,,,,4.9,6.5,44.0
13/02/2019 12:00:00,8.5,,,,5.0,11.2,46.3
14/02/2019 12:00:00,11.2,,,,4.8,20.4,64.0
15/02/2019 12:00:00,16.3,,,,6.2,27.9,53.8
16/02/2019 12:00:00,7.7,,,,6.5,23.2,53.7
17/02/2019 12:00:00,6.8,,,,6.9,22.7,33.0
18/02/2019 12:00:00,8.8,,,,7.1,6.2,46.2
21/02/2019 12:00:00,6.1,,,,5.9,8.0,38.6
22/02/2019 12:00:00,2.3,,,,6.6,8.4,30.7
23/02/2019 12:00:00,3.3,,,,7.3,8.0,31.0
24/02/2019 12:00:00,3.5,,,,7.3,6.2,42.5
26/02/2019 12:00:00,5.4,,,,6.3,12.1,45.9
27/02/2019 12:00:00,7.8,,,,7.5,24.2,46.9
28/02/2019 12:00:00,10.2,,,,8.1,20.3,46.6
01/01/2019 23:00:00,,,,,2.2,3.5,35.6
02/01/2019 12:00:00,,,,,2.9,3.3,32.8
03/01/2019 12:00:00,,,,,3.9,7.1,40.4
04/01/2019 12:00:00,,,,,9.5,8.4,41.3
05/01/2019 12:00:00,,,,,6.2,13.5,61.6
11/01/2019 12:00:00,,,,,5.7,7.7,
12/01/2019 12:00:00,2.2,,,,3.2,9.6,41.3
13/01/2019 12:00:00,1.8,,,,4.1,6.7,47.5
14/01/2019 12:00:00,1.1,,,,6.1,8.5,39.7
15/01/2019 12:00:00,,,,,6.9,8.1,23.3
16/01/2019 12:00:00,,,,,6.2,5.7,33.7
18/01/2019 12:00:00,,,,,6.6,5.3,38.6
19/01/2019 12:00:00,,,,,7.2,10.4,39.0
20/01/2019 12:00:00,,,,,7.0,8.5,41.3
21/01/2019 12:00:00,,,,,,3.1,36.9
22/01/2019 12:00:00,5.8,,,,,8.4,42.0
23/01/2019 12:00:00,5.2,,,,,8.4,46.5
24/01/2019 12:00:00,4.7,,,,,8.5,28.1
26/01/2019 12:00:00,7.3,,,,,6.7,37.2
27/01/2019 12:00:00,4.8,,,,,11.5,37.3
28/01/2019 12:00:00,5.9,,,,,5.5,38.3
29/01/2019 12:00:00,4.3,,,,,7.0,25.6
30/01/2019 12:00:00,3.6,,,,,11.7,34.7
31/01/2019 12:00:00,4.7,,,,4.0,10.7,35.2
01/07/2019 12:00:00,10.3,,,,6.9,8.2,42.6
02/07/2019 12:00:00,9.1,,,,6.4,15.2,50.4
03/07/2019 12:00:00,8.7,,,,7.0,8.9,49.0
04/07/2019 12:00:00,10.6,,,,6.3,15.3,67.8
05/07/2019 12:00:00,8.3,,,,5.7,19.9,45.8
06/07/2019 12:00:00,10.1,,,,6.7,10.8,42.8
07/07/2019 12:00:00,11.4,,,,6.9,10.8,49.1
09/07/2019 12:00:00,9.6,,,,15.2,10.5,62.9
10/07/2019 12:00:00,12.0,,,,7.8,9.0,66.5
11/07/2019 12:00:00,8.5,,,,11.6,7.0,55.6
12/07/2019 12:00:00,8.4,,,,9.2,14.3,44.4
13/07/2019 12:00:00,5.8,,,,8.3,9.6,51.5
14/07/2019 12:00:00,7.3,,,,8.8,8.5,33.8
15/07/2019 12:00:00,4.9,,,,10.3,11.2,43.6
16/07/2019 12:00:00,7.3,,,,9.2,9.7,39.5
17/07/2019 12:00:00,13.1,,,,12.1,14.4,83.7
18/07/2019 12:00:00,,,,,8.8,7.3,64.7
20/07/2019 12:00:00,5.6,,,,10.5,9.0,58.0
21/07/2019 12:00:00,6.0,,,,11.9,4.7,58.9
22/07/2019 12:00:00,7.7,,,,10.4,6.3,60.7
23/07/2019 12:00:00,9.3,,,,10.0,11.6,55.4
24/07/2019 12:00:00,9.0,,,,10.7,10.9,45.8
25/07/2019 12:00:00,7.8,,,,10.9,9.1,56.3
26/07/2019 12:00:00,8.5,,,,10.1,9.7,51.1
27/07/2019 12:00:00,5.1,,,,,10.1,67.0
28/07/2019 12:00:00,5.8,,,,,8.9,65.7
29/07/2019 12:00:00,6.7,,,,,6.6,51.8
30/07/2019 12:00:00,3.7,,,,,7.7,63.3
31/07/2019 12:00:00,6.8,,,,,15.6,64.5
01/06/2019 12:00:00,12.9,,,,6.8,13.5,52.0
02/06/2019 12:00:00,7.9,,,,6.2,10.8,34.6
03/06/2019 12:00:00,6.2,,,,8.4,10.1,44.7
04/06/2019 12:00:00,6.7,,,,9.2,15.1,44.2
05/06/2019 12:00:00,9.0,,,,3.5,12.8,30.8
06/06/2019 12:00:00,6.3,,,,5.0,8.7,56.8
07/06/2019 12:00:00,,,,,3.4,6.1,57.8
08/06/2019 12:00:00,22.1,,,,,17.5,46.6
09/06/2019 12:00:00,5.8,,,,8.1,5.3,41.8
10/06/2019 12:00:00,4.9,,,,7.2,7.2,46.6
11/06/2019 12:00:00,7.6,,,,3.8,13.4,31.5
12/06/2019 12:00:00,9.3,,,,4.6,14.8,35.0
13/06/2019 12:00:00,12.0,,,,5.7,9.8,56.7
14/06/2019 12:00:00,13.6,,,,8.5,10.3,48.5
15/06/2019 12:00:00,13.6,,,,6.5,11.2,47.8
16/06/2019 12:00:00,7.5,,,,4.5,8.6,38.0
17/06/2019 12:00:00,6.7,,,,7.2,11.2,49.9
18/06/2019 12:00:00,8.3,,,,7.8,15.6,45.6
19/06/2019 12:00:00,9.5,,,,6.7,12.6,43.6
20/06/2019 12:00:00,8.9,,,,5.6,10.0,32.1
