Year,Month,good
2013,1,650
2013,2,585
2013,3,682
2013,4,656
2013,5,662
2013,6,500
2013,7,460
2013,8,658
2013,9,566
2013,10,613
2013,11,630
2013,12,692
2014,1,672
2014,2,637
2014,3,630
2014,4,677
2014,5,694
2014,6,686
2014,7,665
2014,8,634
2014,9,636
2014,10,606
2014,11,612
2014,12,683
2015,1,684
2015,2,637
2015,3,704
2015,4,684
2015,5,732
2015,6,690
2015,7,663
2015,8,646
2015,9,659
2015,10,679
2015,11,647
2015,12,635
