Year,Month,good
2013,1,19
2013,2,19
2013,3,19
2013,4,16
2013,5,19
2013,6,15
2013,7,5
2013,8,28
2013,9,43
2013,10,37
2013,11,343
2013,12,414
2014,1,726
2014,2,640
2014,3,612
2014,4,708
2014,5,710
2014,6,635
2014,7,690
2014,8,720
2014,9,666
2014,10,677
2014,11,659
2014,12,738
2015,1,666
2015,2,642
2015,3,720
2015,4,679
2015,5,687
2015,6,677
2015,7,690
2015,8,712
2015,9,620
2015,10,694
2015,11,610
2015,12,700
