Year,Month,good
2013,1,43
2013,2,43
2013,3,34
2013,4,28
2013,5,37
2013,6,36
2013,7,43
2013,8,43
2013,9,43
2013,10,199
2013,11,440
2013,12,333
2014,1,548
2014,2,484
2014,3,517
2014,4,649
2014,5,634
2014,6,643
2014,7,631
2014,8,672
2014,9,638
2014,10,626
2014,11,634
2014,12,662
2015,1,708
2015,2,631
2015,3,710
2015,4,600
2015,5,695
2015,6,392
2015,7,689
2015,8,694
2015,9,434
2015,10,601
2015,11,656
2015,12,689
